FID,pkuid,X_cent,Y_cent,Area
0,1,"629,297.409565999990000","1,013,079.908749999900000",362
1,2,"629,554.470142000010000","1,013,051.933430000000000",220
2,3,"629,433.700060999950000","1,012,966.156440000000000",567
3,4,"629,485.230218000010000","1,012,836.357600000000000",501
4,5,"629,634.410080999950000","1,012,838.685920000000000",161
5,6,"629,541.726204999960000","1,012,915.950600000000000",96
6,7,"629,628.822294999960000","1,012,727.721500000000000",55
7,8,"629,634.538385999970000","1,012,397.768530000000000",435
8,9,"629,455.972669000040000","1,012,379.158410000000000",139
9,10,"629,390.284354000000000","1,012,474.006760000000000",406
10,11,"629,351.015822999990000","1,012,488.211830000000000",308
11,12,"626,998.795674000050000","1,014,754.216110000000000",438
12,13,"626,963.405312999970000","1,014,713.940200000000000",365
13,14,"626,957.993612000020000","1,014,689.587190000000000",872
14,15,"626,847.364458999950000","1,014,519.196300000000000",709
15,16,"626,750.136815999980000","1,014,563.164600000000000",257
16,17,"626,885.111339999940000","1,014,542.700950000000000",442
17,18,"627,076.255259000000000","1,014,606.928120000100000",221
18,19,"627,040.843855999990000","1,014,530.111540000000000",151
19,20,"627,026.541865000040000","1,014,628.955380000100000",134
20,21,"624,364.319365000000000","1,014,063.178020000000000",388
21,22,"624,384.032949000010000","1,014,005.365020000000000",213
22,23,"624,678.799899999980000","1,014,033.373760000000000",234
23,24,"624,640.476896999990000","1,014,067.911920000000000",284
24,25,"625,010.241246000050000","1,014,209.579720000000000",182
25,26,"625,636.073916999970000","1,014,399.838860000000000",264
26,27,"625,628.200764999960000","1,014,424.156860000000000",198
27,28,"625,970.759283000020000","1,014,228.996620000000000",255
28,29,"625,962.822591000000000","1,014,201.790740000000000",139
29,30,"625,750.816823999980000","1,014,113.975110000000000",368
30,31,"625,910.407042999980000","1,014,051.695760000000000",358
31,32,"626,073.660515000000000","1,014,196.868720000000000",300
32,33,"626,850.582415999960000","1,014,433.400850000000000",449
33,34,"626,873.085275999970000","1,014,436.898470000000000",205
34,35,"627,004.161548999950000","1,014,361.445660000000000",389
35,36,"626,766.608359999950000","1,014,425.949520000000000",333
36,37,"626,757.042040999980000","1,014,400.266150000000000",173
37,38,"626,785.470890000000000","1,014,314.038180000000000",314
38,39,"626,766.369604000010000","1,014,303.148470000000000",402
39,40,"626,738.292886000010000","1,014,300.332190000000000",124
40,41,"626,853.618588999960000","1,014,272.583450000000000",305
41,42,"626,852.063590000030000","1,014,291.928560000000000",61
42,43,"626,831.133463999950000","1,014,300.290040000000000","1,057"
43,44,"626,952.263003999950000","1,014,322.653440000000000",151
44,45,"626,918.941238999950000","1,014,316.792110000000000",75
45,46,"626,944.385447000040000","1,014,296.810530000000000",174
46,47,"626,959.263542999980000","1,014,207.464650000000000",447
47,48,"626,850.101853000000000","1,014,223.360730000000000",725
48,49,"626,717.631251999990000","1,014,038.285270000000000",644
49,50,"626,748.651384999980000","1,014,084.855380000000000",348
50,51,"626,783.268050999960000","1,014,106.884990000000000",139
51,52,"626,799.167675000030000","1,014,113.853830000000000",188
52,53,"626,795.503135000010000","1,014,139.549320000000000",350
53,54,"626,858.272071999960000","1,014,116.752380000000000",646
54,55,"626,873.079640000010000","1,014,020.236970000000000",830
55,56,"626,895.336908000060000","1,014,001.767290000000000",300
56,57,"626,982.571205000040000","1,014,038.830800000000000",296
57,58,"627,057.203306999990000","1,014,388.236960000000000",421
58,59,"627,023.380422999970000","1,014,286.404440000000000",807
59,60,"627,035.292280999940000","1,014,316.314230000000000","1,629"
60,61,"627,176.143413000040000","1,014,196.957370000000000",271
61,62,"627,466.337964999960000","1,014,015.520800000100000",299
62,63,"627,460.339878999980000","1,013,991.141800000000000",86
63,64,"627,583.962966999970000","1,014,167.324910000000000",299
64,65,"627,571.049512000060000","1,014,137.320490000000000",159
65,66,"627,537.359746000030000","1,014,166.632870000000000",222
66,67,"627,543.872888999990000","1,014,144.435310000000000",129
67,68,"627,529.377000999990000","1,014,123.692470000000000",419
68,69,"627,516.810953999990000","1,014,097.744490000000000",336
69,70,"627,537.490858000000000","1,014,096.368280000100000",274
70,71,"627,553.348029999990000","1,014,059.690259999900000",214
71,72,"627,600.005790999970000","1,014,050.312240000000000",86
72,73,"627,590.945184999960000","1,014,043.649690000000000",52
73,74,"627,916.917837999990000","1,014,028.729530000000000",322
74,75,"624,329.360424999960000","1,013,947.682710000000000",336
75,76,"624,304.025843000040000","1,013,996.138520000000000",260
76,77,"624,269.206927999970000","1,013,970.222250000000000",545
77,78,"624,394.609585999980000","1,013,901.468510000000000",366
78,79,"624,445.801193000050000","1,014,000.424450000000000",105
79,80,"624,561.269133999940000","1,013,927.754750000000000",482
80,81,"624,533.902425999990000","1,013,900.286400000000000",279
81,82,"624,627.520892999950000","1,013,898.322460000100000",439
82,83,"624,734.163428999950000","1,013,884.326490000000000",671
83,84,"624,744.673318000040000","1,013,904.987130000000000",393
84,85,"624,697.912226999990000","1,013,826.689140000000000",222
85,86,"624,735.406413999970000","1,013,842.810740000000000",440
86,87,"624,765.044708000030000","1,013,846.024500000100000",500
87,88,"624,791.622793999970000","1,013,826.285350000000000",357
88,89,"624,794.742618000020000","1,013,849.075750000000000",767
89,90,"624,768.131548000030000","1,013,787.636950000000000",396
90,91,"624,813.774840999980000","1,013,763.989700000000000",245
91,92,"624,846.526806000040000","1,013,841.600560000000000",158
92,93,"624,883.145057999990000","1,013,921.112390000000000",325
93,94,"624,798.947625000030000","1,013,731.222180000000000",225
94,95,"624,820.462745000030000","1,013,711.208239999900000",154
95,96,"624,816.612088000050000","1,013,692.169250000000000",415
96,97,"624,777.155829999950000","1,013,701.216140000000000",216
97,98,"624,759.423738999990000","1,013,708.242800000000000",500
98,99,"624,780.515158999940000","1,013,678.724370000000000",316
99,100,"624,763.047540999950000","1,013,689.410330000000000",170
100,101,"624,761.421796999990000","1,013,671.527590000000000",369
101,102,"624,726.145199000020000","1,013,693.905590000000000",119
102,103,"624,692.444222999970000","1,013,682.145739999900000",245
103,104,"624,710.161167999960000","1,013,680.028290000000000",234
104,105,"624,720.311781000000000","1,013,669.582630000000000",360
105,106,"624,704.697545000000000","1,013,622.746740000000000",499
106,107,"624,749.316746999980000","1,013,626.030560000000000",535
107,108,"624,670.759317000050000","1,013,558.626700000000000",374
108,109,"624,627.722322999970000","1,013,590.451000000000000",367
109,110,"624,671.590643999980000","1,013,616.087250000000000",139
110,111,"624,621.329944000000000","1,013,629.733780000000000",217
111,112,"624,598.886367000060000","1,013,615.299730000000000",529
112,113,"624,616.914495000030000","1,013,613.371720000100000",164
113,114,"624,580.563140999990000","1,013,680.277470000000000",166
114,115,"624,726.827031000050000","1,013,574.321290000000000",491
115,116,"624,796.477380000050000","1,013,593.318860000000000",86
116,117,"624,815.562442000020000","1,013,605.180020000000000",288
117,118,"624,857.907941999960000","1,013,598.958290000000000",380
118,119,"624,830.495989999970000","1,013,541.854440000000000",444
119,120,"624,848.676362999950000","1,013,573.467330000000000",446
120,121,"624,805.353724000040000","1,013,513.724659999900000",495
121,122,"624,694.786706999990000","1,013,729.248390000000000",416
122,123,"624,856.678605000020000","1,013,497.753610000000000",649
123,124,"624,938.502034000000000","1,013,530.870870000000000",488
124,125,"624,956.154071999950000","1,013,560.819150000000000",221
125,126,"624,971.637587000030000","1,013,550.581000000000000",300
126,127,"624,986.147450000050000","1,013,525.462540000000000",352
127,128,"625,004.413687000050000","1,013,530.936320000000000",272
128,129,"624,890.459494999960000","1,013,638.002560000100000",293
129,130,"624,853.301480000020000","1,013,651.350710000000000",222
130,131,"624,947.961412000000000","1,013,701.185810000100000",422
131,132,"624,915.714401999950000","1,013,738.216720000000000",298
132,133,"624,845.000953000040000","1,013,710.060970000000000",94
133,134,"624,693.371960000020000","1,013,795.509130000000000",599
134,135,"625,024.398399000060000","1,013,537.755030000000000",748
135,136,"625,040.548555999990000","1,013,529.021930000000000",453
136,137,"625,569.361242000010000","1,013,765.226400000000000",148
137,138,"625,584.432266999970000","1,013,747.214940000000000",132
138,139,"625,586.227521999970000","1,013,732.451140000000000",249
139,140,"625,582.688712000030000","1,013,574.004500000000000","1,111"
140,141,"625,583.263813000060000","1,013,595.882230000000000",75
141,142,"625,521.301237000040000","1,013,619.940860000000000",422
142,143,"625,572.098385000020000","1,013,670.694240000000000",717
143,144,"625,686.246907999970000","1,013,662.385380000000000",788
144,145,"625,744.977531000040000","1,013,622.804590000000000",100
145,146,"625,568.171265000010000","1,013,509.092480000000000",607
146,147,"625,763.091714999990000","1,013,574.263410000000000",329
147,148,"625,784.472959000040000","1,013,727.160710000000000",253
148,149,"625,811.999249999990000","1,013,752.816910000100000",360
149,150,"625,767.863042999990000","1,013,949.920520000000000",151
150,151,"625,817.251398000050000","1,013,943.171770000000000",108
151,152,"625,858.113764000010000","1,013,973.209470000000000",212
152,153,"625,821.626021999980000","1,013,961.974590000000000",384
153,154,"625,982.662597000020000","1,013,894.365320000000000",234
154,155,"626,136.936850000060000","1,013,915.409920000000000",289
155,156,"626,185.252358000030000","1,013,907.191480000000000",84
156,157,"626,312.657400000030000","1,013,894.940800000000000",202
157,158,"626,488.592858999970000","1,013,937.397080000000000",131
158,159,"626,310.515811000020000","1,013,846.339820000000000",176
159,160,"626,030.312773999990000","1,013,861.420550000000000",172
160,161,"626,256.894485999950000","1,013,627.286660000000000",279
161,162,"626,267.955513000020000","1,013,641.097460000000000",114
162,163,"626,435.985786000030000","1,013,643.583750000000000",140
163,164,"626,301.224858999950000","1,013,577.428050000000000",482
164,165,"626,186.268920999950000","1,013,650.368620000000000",216
165,166,"626,878.740729999960000","1,013,847.089640000000000",115
166,167,"626,019.323696000040000","1,013,603.633250000000000",56
167,168,"626,019.194632000060000","1,013,518.058899999900000",131
168,169,"626,743.264623000050000","1,013,881.415820000000000",240
169,170,"626,891.950787000010000","1,013,783.717310000000000",133
170,171,"626,685.406858999980000","1,013,720.077979999900000",612
171,172,"626,796.045842000050000","1,013,816.298780000000000",294
172,173,"626,759.285063000050000","1,013,829.172370000000000",165
173,174,"626,738.981524999950000","1,013,777.948330000000000",271
174,175,"626,664.384010000040000","1,013,714.742460000000000",168
175,176,"626,655.371038999990000","1,013,707.417400000000000",175
176,177,"626,771.116679999980000","1,013,756.020940000000000",108
177,178,"626,786.722570999990000","1,013,742.016130000000000",119
178,179,"626,638.592504999950000","1,013,578.241889999900000",265
179,180,"626,928.851784999950000","1,013,644.778870000000000",615
180,181,"626,544.658440000030000","1,013,535.035170000000000",292
181,182,"626,559.639549999960000","1,013,521.899530000100000",56
182,183,"626,623.681043999970000","1,013,544.718160000000000",208
183,184,"626,705.868670000000000","1,013,574.025300000000000",505
184,185,"626,864.618780000020000","1,013,517.332990000000000",370
185,186,"627,123.204951000050000","1,013,707.650820000000000",367
186,187,"627,133.617179000050000","1,013,690.702140000000000",347
187,188,"627,485.145020999950000","1,013,631.881199999900000",305
188,189,"627,174.043745000030000","1,013,899.720850000000000",493
189,190,"627,036.769010000050000","1,013,683.740540000000000",617
190,191,"627,238.047055999980000","1,013,708.791500000100000",162
191,192,"627,215.712804000010000","1,013,662.069390000000000",172
192,193,"627,406.164788000050000","1,013,608.263850000000000",175
193,194,"627,356.545852000010000","1,013,632.919430000000000",452
194,195,"627,376.311070999950000","1,013,591.234749999900000",302
195,196,"627,375.733272999990000","1,013,518.132420000000000",381
196,197,"627,444.262702999990000","1,013,568.371610000000000",505
197,198,"627,485.009002999980000","1,013,714.581380000000000",187
198,199,"627,286.561279000020000","1,013,539.647990000000000",657
199,200,"627,112.377818000040000","1,013,605.076600000000000",348
200,201,"627,083.453469999950000","1,013,535.773270000000000",381
201,202,"627,411.360851999950000","1,013,568.868910000000000",568
202,203,"627,437.543441000050000","1,013,537.743930000000000",899
203,204,"627,875.387932999990000","1,013,795.989450000000000",110
204,205,"624,721.073240000060000","1,013,652.492240000100000",347
205,206,"627,542.706116999970000","1,013,915.611130000000000",691
206,207,"627,784.062173999960000","1,013,984.354270000000000",383
207,208,"627,851.209863999970000","1,013,916.507490000000000",493
208,209,"627,898.928529000030000","1,013,893.611339999900000",337
209,210,"627,922.270249999940000","1,013,909.781420000000000",341
